freq,achievement,success,failure,update,reminder
daily,daily_presence,You’ve been awarded ___ points for activating presence-based control for your devices today.,You did not activate your presence-based control for your devices today.,,
daily,daily_schedule,You’ve been awarded ___ points for using schedule-based control for your devices today.,You did not use schedule-based control for your devices today.,,
daily,daily_remote,You’ve been awarded ___ points for using remote control while you are away from your desk today.,You did not use the remote control feature while you are away from your desk today.,,
daily,lower_energy_con,You’ve been awarded ___ points for clocking a lower energy consumption than yesterday.,You did not clock a lower energy consumption than yesterday.,,
daily,turn_off_leave,You’ve been awarded ___ points for turning off your plug loads when you leave your desk for a long period of time during the day.,You did not turn off your plug loads when you leave your desk for a long period of time during the day.,,
daily,turn_off_end,You’ve been awarded ___ points for turning off your plug loads during at the end of the day.,You did not turn off your plug loads during at the end of the day.,,
daily,complete_all_daily,You’ve been awarded ___ points for completing all daily achievements.,"You did not complete all daily achievements.	 ",,
weekly,cost_saving,"You’ve been awarded ___ points for clocking a higher cost savings than last week.	",You did not clock a higher cost savings than last week. ,,
weekly,schedule_based,You’ve been awarded ___ points for setting next week's schedule-based controls.,You did not set next week's schedule-based controls. ,,
weekly,complete_daily,"You’ve been awarded ___ points for completing all daily achievements for 4 days of the week.	",You did not complete all daily achievements for 4 days of the week.,,
weekly,complete_weekly,"You’ve been awarded ___ points for completing all weekly achievements.	",You did not complete all weekly achievements.,,
bonus,tree_first,"You’ve been awarded ___ points for saving your first tree.	","You have not saved your first tree.	 ",,
bonus,tree_fifth,"You’ve been awarded ___ points for saving your fifth tree.	","You have not saved your fifth tree.	 ",,
bonus,tree_tenth,"You’ve been awarded ___ points for saving your tenth tree.	",You have not saved your tenth tree. ,,
bonus,redeem_reward,"You’ve been awarded ___ points for redeeming your first reward from your rewards page.	",You did not redeem your first reward from your rewards page.,,
bonus,first_remote,"You’ve been awarded ___ points for trying out our remote control feature for the first time.	",You have not tried out our remote control feature for the first time. ,,
bonus,first_schedule,"You’ve been awarded ___ points for setting your first schedule-based setting.	",You have not set your first schedule-based setting.,,
bonus,first_presence,"You’ve been awarded ___ points for setting your first presence-based setting.	",You have not set your first presence-based setting.,,
